st_gene_id	diffexp_log2fc_WT_48H-vs-MYC2_48H	diffexp_deseq2_pvalue_WT_48H-vs-MYC2_48H
TraesCSU02G160300	-1.047677439	0.589997044
TraesCS6A02G158900	0.035541558	0.767945864
TraesCS3B02G463100	-0.109378216	0.679325259
TraesCSU02G059300	-1.017829122	0.803021211
TraesCS7B02G356200	0.282623072	0.078892405
TraesCS4D02G282500	-0.098305148	0.569829401
TraesCSU02G142600	-0.07370622	0.850055669
TraesCS1D02G189600	0.780469602	0.057139938
TraesCS2B02G369400	0.002019974	0.983427736
TraesCS5B02G216100	NA	NA
TraesCS2D02G223800	NA	NA
TraesCS1B02G370900	-0.20365188	0.644005688
TraesCS6A02G130100	0.01773428	0.923797156
TraesCS2A02G088800	0.240381425	0.019352267
TraesCS3A02G376000	NA	NA
TraesCS7A02G299800	-0.066681293	0.699339782
TraesCS7D02G205700	1.425952188	0.550314813
TraesCS6B02G333900	-0.06336767	0.814849729
TraesCS1D02G111600	-0.764425736	0.00947343
TraesCS2A02G520500	-1.017829122	0.803021211
TraesCS7D02G093900	NA	NA
TraesCS5A02G066200	0.078964071	0.670664408
TraesCS5B02G543600	0.843399382	0.764609571
TraesCS2D02G309500	-1.922191114	0.543041009
TraesCS7B02G370200	NA	NA
TraesCS3B02G208700	-1.97974351	0.39734263
TraesCS5A02G364100	0.036454578	0.763894964
TraesCS6B02G211000	-1.046168779	0.404562269
TraesCS2B02G223900	0.208914454	0.79248058
TraesCS6A02G289700	-0.075018785	0.736471964
TraesCS2A02G408000	0.079861673	0.724202832
TraesCS6D02G017500	-0.192726785	0.709761945
TraesCS1A02G191800	0.157650949	0.487701904
TraesCS5A02G309600	NA	NA
TraesCS4A02G214400	-0.116751796	0.434977625
TraesCS4D02G015400	-0.496703419	0.09559851
TraesCS4A02G477500	-1.922191114	0.543041009
TraesCS5A02G223200	-0.247293294	0.832532122
TraesCS1B02G341400	0.90572423	0.824340734
TraesCS7B02G371200	1.066057218	0.32667088
TraesCS4D02G230400	0.029142573	0.772631283
TraesCS2D02G441400	-0.038255011	0.745219896
TraesCS5D02G277700	NA	NA
TraesCS7D02G154800	2.653818352	0.077449242
TraesCS3D02G275600	-0.066084402	0.5682945
TraesCS5A02G360200	-0.001769931	0.98991586
TraesCS6B02G018900	0.265366712	0.806425637
TraesCS3A02G146700	0.212850722	0.883682042
TraesCSU02G236777	-2.912260567	0.235730783
TraesCS5B02G177300	0.090061173	0.362447985
TraesCS7A02G077000	-1.017829122	0.803021211
TraesCS2D02G220600	0.17053854	0.529018354
TraesCS2A02G474500	3.011388917	0.078755271
TraesCS2B02G050500	-1.919632497	0.543902086
TraesCS3A02G427100	0.188722544	0.271146572
TraesCS2A02G310600	-1.017829122	0.803021211
TraesCS6D02G030600	-0.074175375	0.692995045
TraesCS7A02G128300	0.487049139	0.313599183
TraesCS3D02G411900	-0.034369616	0.848016842
TraesCS2D02G548100	0.513299403	0.263699183
TraesCS1B02G043600	-0.960445604	2.29E-05
TraesCS5D02G034600	NA	NA
TraesCS5D02G255200	0.222992086	0.223049501
TraesCS3D02G195200	-0.056044324	0.986224416
TraesCS3B02G016800	-0.086798167	0.758318653
TraesCS5D02G457600	0.401605661	0.360394627
TraesCS2B02G035400	2.235261804	0.004030759
TraesCS3D02G236600	0.366198954	0.264054321
TraesCS1A02G220700	1.388907108	0.065264622
TraesCS5B02G362300	-0.102976147	0.385637214
TraesCS7A02G376700	1.126328289	0.045897438
TraesCS5B02G535700	-1.017829122	0.803021211
TraesCS4B02G099400	-0.049928064	0.976549801
TraesCS3D02G456200	1.939692102	0.221670531
TraesCS6B02G147200	-0.068440958	0.410486329
TraesCS1A02G212800	-0.019718856	0.792018496
TraesCS4D02G250900	0.042582559	0.849433283
TraesCS7D02G202600	-0.056044233	0.98613567
TraesCS1A02G356200	0.125793811	0.750702194
TraesCS2A02G219100	1.215647001	0.042630145
TraesCS2D02G294100	NA	NA
TraesCS7A02G424300	0.061498966	0.662080188
TraesCS5D02G052200	0.073437596	0.621297366
TraesCS6B02G403600	0.90572423	0.824340734
TraesCS3B02G329100	-0.039746515	0.825943237
TraesCS6B02G052800	-0.377323453	0.686470573
TraesCS7D02G196600	-0.159387636	0.120639696
TraesCS3B02G162100	-0.236204459	0.6136832
TraesCS5D02G006800	-0.828166287	0.437232919
TraesCS2D02G198800	1.836446889	0.405226991
TraesCS3B02G434700	0.157415911	0.125969278
TraesCS7D02G191800	0.07487415	0.54732102
TraesCS3B02G287100	0.761221214	0.040704026
TraesCS6A02G275000	-0.011442041	0.896206815
TraesCS6A02G300500	0.043425004	0.758079536
TraesCS3A02G048500	0.007120108	0.963101954
TraesCS5B02G536300	-0.033830624	0.816238333
TraesCS5B02G413200	0.309510421	0.068931466
TraesCS3A02G059100	-1.905910986	0.071120439
TraesCS7A02G257100	-0.05724633	0.551460427
TraesCS3D02G421500	-0.081530301	0.285920933
TraesCS3D02G505900	0.085345306	0.772170917
TraesCS5A02G528800	0.204143096	0.879985202
TraesCS6D02G112200	0.038082646	0.864190476
TraesCS4B02G143600	-0.239678064	0.133854435
TraesCS2B02G383100	-0.134760652	0.243452141
TraesCS5A02G254600	NA	NA
TraesCS1B02G423900	NA	NA
TraesCS7A02G010300	-1.586562705	0.144705201
TraesCS2A02G352900	0.095591764	0.929213602
TraesCS1D02G100000	-0.094504973	0.712360498
TraesCS5B02G234700	0.084137961	0.540839455
TraesCS1A02G270400	-0.054070262	0.584360757
TraesCS2D02G118400	-0.069667404	0.422706646
TraesCS1B02G373400	0.399420391	0.196935601
TraesCS5D02G410500	0.048741021	0.873202272
TraesCS5B02G055700	-0.056047528	0.96125857
TraesCS5B02G383900	-0.494400111	0.294608299
TraesCS5D02G317400	-0.169616635	0.115254438
TraesCSU02G173200	-2.481240492	0.400093121
TraesCS6A02G012100	-0.195254389	0.166561704
TraesCS2D02G242600	-0.126825985	0.173545353
TraesCS3D02G436500	0.391457916	0.330440224
TraesCS1A02G272600	-1.253726073	0.049309806
TraesCS3B02G319500	-0.748763034	7.19E-14
TraesCS4B02G309000	NA	NA
TraesCS3B02G367100	-1.017829122	0.803021211
TraesCS2A02G126100	-0.038399861	0.852082684
TraesCS1D02G287900	-0.045400173	0.699563305
TraesCS1A02G306900	0.90572423	0.824340734
TraesCS4D02G016700	-0.253913176	0.244647676
TraesCS7A02G546400	0.029147281	0.771865277
TraesCS1D02G104100	-0.516264329	0.17420895
TraesCS3D02G158000	-0.298011871	0.359194942
TraesCS6D02G201500	0.002014785	0.981695911
TraesCS4B02G197300	-0.879921118	4.60E-13
TraesCS3B02G377200	-0.058180276	0.979606516
TraesCS2B02G081400	NA	NA
TraesCS6D02G001600	0.068460373	0.367615546
TraesCSU02G089500	NA	NA
TraesCS3A02G102100	-1.054902217	0.573899555
TraesCS3B02G263300	0.90572423	0.824340734
TraesCS4B02G166800	-0.106536502	0.397265302
TraesCS3D02G490500	-0.941443363	0.737403278
TraesCS6A02G166600	-0.768670475	0.162533518
TraesCS4A02G078500	1.163961441	0.437094688
TraesCS5A02G530000	0.017150799	0.901882799
TraesCS4B02G064700	0.196960495	0.596111919
TraesCS3D02G285700	0.225130167	0.008952599
TraesCS4D02G161700	-0.042195584	0.760938498
TraesCS4B02G359700	NA	NA
TraesCS7B02G061300	-0.641544981	0.531563451
TraesCS2D02G148200	-0.015528091	0.867378347
TraesCS7D02G277900	0.075636505	0.331183251
TraesCS1A02G273100	0.051822435	0.625601045
TraesCS2B02G515500	0.078935073	0.393479753
TraesCS1B02G321800	0.31995341	0.048537531
TraesCS6D02G090300	-1.240525275	0.000468752
TraesCS5D02G407800	-0.122477016	0.492720202
TraesCS6B02G243900	-0.450595959	0.46774881
TraesCS5D02G300300	0.073468956	0.590753756
TraesCS6B02G370000	-0.479053255	0.640292294
TraesCS7B02G423000	0.90572423	0.824340734
TraesCS1A02G157500	0.002955123	0.975110918
TraesCS5A02G473600	0.047242901	0.513223899
TraesCS5B02G114100	-0.095554286	0.434244124
TraesCS3A02G157800	-0.091896338	0.570626777
TraesCS4A02G183300	-0.491520669	0.489769436
TraesCS4A02G196300	1.137337482	0.178732012
TraesCS7A02G352200	-0.372679809	0.001269245
TraesCS3D02G302200	-1.017829122	0.803021211
TraesCS4B02G272400	-0.080835744	0.537153616
TraesCS2B02G232500	-0.654787241	0.752987202
TraesCS7D02G504200	NA	NA
TraesCS6B02G114312	NA	NA
TraesCS5B02G263600	0.165845936	0.287774938
TraesCS7B02G326200	-1.055172044	0.474582942
TraesCS6B02G451500	-0.202923572	0.847380254
TraesCS5A02G081600	0.15795417	0.556668941
TraesCS1D02G296200	0.361610407	0.841556448
TraesCS6B02G179900	0.37964819	2.79E-05
TraesCSU02G188000	0.94872622	0.642033114
TraesCS7A02G388500	-0.93971239	0.722584955
TraesCS3B02G317400	0.90572423	0.824340734
TraesCS1B02G301300	0.90572423	0.824340734
TraesCS3D02G050700	0.3372147	0.446852571
TraesCS1D02G272200	1.099199888	0.441707416
TraesCS1B02G099100	-0.181418038	0.046955368
TraesCS2D02G160700	0.074381062	0.534661059
TraesCS3A02G503400	0.006990053	0.947072217
TraesCS4A02G022200	-0.310266921	0.784594169
TraesCS3A02G236200	0.097918826	0.530958463
TraesCS3B02G478200	-0.224595415	0.575505007
TraesCS5D02G225300	-0.327833165	0.044010197
TraesCS6A02G055000	-0.70131502	0.487284442
TraesCS5D02G339800	-0.097071225	0.492076098
TraesCS5A02G464800	0.03823662	0.86592085
TraesCS7D02G163900	-0.016989215	0.894163502
TraesCS3D02G305300	0.598120824	0.013649499
TraesCS6D02G005300	0.079039485	0.726404192
TraesCS5B02G137700	-0.539425654	0.556324751
TraesCS5A02G260600	0.00995378	0.86703307
TraesCS2A02G292300	-0.400158375	0.475554301
TraesCS7A02G418800	0.483928986	0.431729008
TraesCS6D02G042400	-0.285173187	0.4380545
TraesCS2D02G277800	0.343379891	0.240503491
TraesCS2D02G268400	-0.120877684	0.254754315
TraesCS4A02G163600	0.134533302	0.718304961
TraesCS5B02G010600	0.062138013	0.753292194
TraesCS4A02G145300	-0.166630501	0.490301373
TraesCS7D02G323200	-0.435169035	0.303979371
TraesCS2B02G048100	-0.124461538	0.494838632
TraesCS7D02G385700	-0.734320447	0.560506007
TraesCS1D02G102200	0.691895774	0.571183875
TraesCS6B02G159600	0.080276302	0.81420008
TraesCS1B02G129700	-0.143274444	0.851883177
TraesCS5D02G145100	-0.021332248	0.775929592
TraesCSU02G246100	-0.259824713	0.926999524
TraesCS5D02G321700	-0.337416335	0.781508644
TraesCS2B02G141800	0.175174013	0.480306069
TraesCS5A02G038000	-0.356159648	0.280465743
TraesCS1D02G287600	0.050022984	0.600961445
TraesCS2A02G161200	1.926778488	0.107933643
TraesCS5B02G521100	-0.055717231	0.51313777
TraesCS1A02G178600	-0.06946395	0.834207976
TraesCS4A02G427200	NA	NA
TraesCS5D02G281400	0.094186562	0.83205356
TraesCS3D02G300700	-0.291603831	0.009065312
TraesCS5A02G076300	-0.04092565	0.693171485
TraesCS7B02G381400	0.822127067	0.013477416
TraesCS3A02G507500	0.107517118	0.35617058
TraesCS7B02G096400	0.08766679	0.861965559
TraesCS4D02G134500	-0.209874718	0.038107366
TraesCS6D02G131200	-0.521606454	0.621528996
TraesCS1A02G279200	0.149529127	0.807202794
TraesCS5B02G151900	0.017730885	0.98021115
TraesCS3A02G136300	NA	NA
TraesCS2B02G444800	-0.528603116	0.446660538
TraesCS2A02G384600	0.153516874	0.581206634
TraesCS1D02G314900	0.291107724	0.08063792
TraesCS5B02G379400	-0.062455112	0.94918462
TraesCS1A02G160700	0.005805423	0.934207604
TraesCS1D02G381200	-1.040278241	0.477903102
TraesCS3D02G524000	0.307011719	0.351205533
TraesCS7A02G298800	-0.046043539	0.704127361
TraesCS4D02G354000	-0.226969829	0.357398026
TraesCS2A02G043300	-0.064753499	0.818512466
TraesCS3B02G353300	-0.516014557	0.625279003
TraesCS5A02G402500	-0.012059697	0.907051425
TraesCS7D02G451800	-0.281256725	0.214706085
TraesCS3B02G077500	-0.036136799	0.8073018
TraesCS3B02G173900	-0.473283546	0.695591557
TraesCS3B02G394200	-0.489264302	0.017050314
TraesCS5A02G415600	-0.084853399	0.313945288
TraesCS2D02G404300	-0.023980302	0.906074436
TraesCS2A02G168400	-0.047585443	0.676611656
TraesCS1A02G118300	-0.034673781	0.847177551
TraesCS3A02G404900	NA	NA
TraesCSU02G139300	-0.057425337	0.904578932
TraesCSU02G126500	-3.118859126	0.073737983
TraesCS1B02G108700	-0.246680401	0.050167546
TraesCS1A02G025200	0.194028681	0.108813438
TraesCS3D02G084600	0.449399786	0.100553259
TraesCS6D02G085300	0.339191847	2.04E-05
TraesCS4A02G452100	-0.939730909	0.722160383
TraesCS2B02G491700	0.01890362	0.754237194
TraesCS4A02G266500	-0.419625326	0.238700468
TraesCS4A02G248600	0.210046143	0.794471733
TraesCS6B02G441800	-0.509680574	0.005713151
TraesCS7D02G264400	-0.096050398	0.735017775
TraesCS6B02G148200	-0.077564224	0.213885811
TraesCS1D02G253700	-0.104799083	0.280474935
TraesCS5B02G500200	-0.086670658	0.554981203
TraesCS6A02G261200	0.439650261	0.093092292
TraesCS1B02G386400	0.142819693	0.639923228
TraesCS7A02G401200	-0.151653693	0.579023704
TraesCS6B02G177800	-1.014729283	0.119382626
TraesCS6A02G188900	-0.243396509	0.64953027
TraesCS3D02G310400	-0.351656805	0.733401863
TraesCS5B02G317600	0.677335924	0.671838158
TraesCS3A02G357300	0.684353336	0.400312704
TraesCS3B02G015000	0.455626029	0.680702802
TraesCS2B02G084200	-0.180326794	0.347931499
TraesCS3D02G256700	-0.121841355	0.205724588
TraesCSU02G180500	0.259170897	0.070332015
TraesCS7A02G501900	-0.383166685	0.810616609
TraesCS2B02G517500	-0.05057181	0.730258896
TraesCS7A02G176800	1.749440077	0.285365947
TraesCS2D02G152500	0.002163231	0.989917616
TraesCS6A02G184600	0.265514875	0.019084431
TraesCSU02G196100	-0.145291251	0.307452555
TraesCS5B02G485900	NA	NA
TraesCS4D02G351400	-0.176912563	0.122586258
TraesCS5D02G332800	0.088965861	0.930306404
TraesCS5B02G095300	-0.448964776	0.10105265
TraesCS2B02G316400	0.227556253	0.022259926
TraesCS4B02G364000	-0.794427813	0.000203585
TraesCS1A02G230300	-0.474838254	0.641391989
TraesCS1B02G299200	NA	NA
TraesCS6B02G294200	0.280119618	0.038620942
TraesCS4D02G031300	-0.481122574	0.780057017
TraesCS1D02G035500	-2.543125511	0.177719999
TraesCS7A02G067800	-0.166643514	0.018361979
TraesCS7A02G469000	1.345854536	0.364089282
TraesCS1A02G041300	-3.640658986	0.000575213
TraesCS7D02G134400	0.018353074	0.97232172
TraesCS2D02G053200	-1.787870303	0.193692734
TraesCS6D02G155000	-0.050099875	0.952743775
TraesCS1D02G067500	0.038802151	0.61475959
TraesCS4D02G328800	NA	NA
TraesCS2A02G010100	-0.022040997	0.777309519
TraesCS1B02G142500	-0.497977885	0.415433485
TraesCS2D02G597500	0.600703673	0.300041411
TraesCS2B02G391500	-0.102263797	0.6294229
TraesCS2D02G063400	NA	NA
TraesCS4D02G276800	-0.30934683	0.151220124
TraesCS3A02G236900	0.141630473	0.38210366
TraesCS3D02G361800	-0.09089679	0.750149833
TraesCS3A02G129000	0.278281609	1.34E-05
TraesCS3B02G201800	0.014182148	0.841476337
TraesCS2B02G023200	-0.450893168	0.354868953
TraesCS5D02G073800	2.385449006	0.385677549
TraesCS1D02G020400	NA	NA
TraesCS2A02G044900	0.32782972	0.08157477
TraesCS1D02G281000	0.136359937	0.178459346
TraesCS4D02G052100	-0.2361017	0.007824854
TraesCS5A02G422300	-0.017902438	0.952990899
TraesCS1A02G305900	0.126988684	0.718069871
TraesCS2B02G521000	-0.009725099	0.907806059
TraesCS1D02G239900	0.080779285	0.670904894
TraesCS4B02G311700	0.070743191	0.427563907
TraesCS5B02G240600	0.224369373	0.0830681
TraesCS4B02G300600	-0.495671488	0.09459255
TraesCS6D02G064600	-1.017829122	0.803021211
TraesCS6A02G336500	-0.119923538	0.190525206
TraesCS6B02G128000	0.210977209	0.1609747
TraesCS5B02G538900	0.54434667	0.028377892
TraesCS7D02G355600	0.130955567	0.815408498
TraesCS7B02G199800	1.446959283	0.151847943
TraesCS4A02G003000	-1.040661836	0.608779443
TraesCS1A02G302100	0.42287037	0.66734735
TraesCS7A02G565000	0.90572423	0.824340734
TraesCS6A02G325900	3.129662762	0.170166774
TraesCS1A02G240400	-0.192890161	0.633280958
TraesCS3A02G277400	0.048185414	0.686455069
TraesCS3A02G146100	0.101640137	0.779484816
TraesCS7A02G357000	1.797985593	0.576212367
TraesCS3D02G213200	0.003484555	0.958764484
TraesCS2D02G419400	-0.194780811	0.69787567
TraesCS4B02G112200	0.244239386	0.43091119
TraesCS7A02G226300	0.466191457	0.259807593
TraesCS1B02G091900	-0.176886846	0.321346546
TraesCS2D02G445600	-0.052938037	0.946998744
TraesCS2A02G151300	0.123531224	0.403888027
TraesCS7D02G516700	0.277910711	0.268934189
TraesCS2D02G422000	-0.450991424	0.131497193
TraesCS6A02G034800	-1.017829122	0.803021211
TraesCS7D02G325400	0.802460719	0.533012194
TraesCS3A02G272400	1.423778652	0.549925717
TraesCS2D02G414100	0.322315251	0.34134899
TraesCS2B02G128500	-1.017829122	0.803021211
TraesCS6B02G394800	0.90572423	0.824340734
TraesCS5A02G437300	0.403875378	0.091927787
TraesCS6B02G163100	0.056895111	0.66994122
TraesCS4A02G079600	-0.016214386	0.908277869
TraesCS1B02G165400	-1.535451737	0.517842272
TraesCS6D02G297900	0.469434413	0.038910555
TraesCS2B02G276400	-1.017829122	0.803021211
TraesCS6D02G045900	-1.017829122	0.803021211
TraesCS3A02G182500	0.064258851	0.763011038
TraesCS5A02G287300	-0.130050415	0.575869384
TraesCS6D02G216200	-0.485292605	0.134677185
TraesCS5B02G487400	0.150663095	0.486031867
TraesCS4A02G200800	-0.028163011	0.718639651
TraesCS7A02G026400	-0.051317755	0.983891797
TraesCS7D02G528800	0.90572423	0.824340734
TraesCS6D02G133800	0.024459303	0.769995676
TraesCS6A02G166700	1.836446123	0.405349554
TraesCS5A02G294900	0.90572423	0.824340734
TraesCS4B02G371600	0.276540238	0.499606657
TraesCS2D02G191700	1.092916958	0.220780831
TraesCSU02G173100	1.807274337	0.573117674
TraesCS4D02G192900	-1.017829122	0.803021211
TraesCS5B02G211400	-0.15287696	0.096934154
TraesCS5D02G204100	0.05001202	0.697533094
TraesCS4B02G028400	NA	NA
TraesCS1D02G148500	-0.091940034	0.52693428
TraesCS1D02G008100	1.275112643	0.232430225
TraesCS4A02G422000	0.90572423	0.824340734
TraesCS2D02G165800	0.463205129	4.61E-07
TraesCS7B02G439000	NA	NA
TraesCS3D02G100100	0.019521182	0.970007076
TraesCS3A02G204200	-0.054461194	0.873071168
TraesCSU02G110800	0.017641067	0.872292684
TraesCS3A02G369900	-0.165989461	0.131905504
TraesCS1B02G250500	0.52068475	0.803150526
TraesCS2B02G359900	0.235971486	0.326194635
TraesCS7B02G072500	1.423776208	0.550963012
TraesCS6D02G189000	-0.410709492	0.403568167
TraesCS6D02G097300	0.26857656	0.168281863
TraesCS5D02G072300	-0.004917149	0.95713462
TraesCS6A02G018300	-0.121483377	0.763748127
TraesCS4B02G074100	0.541995265	0.33284876
TraesCS4A02G050800	-0.653753532	0.060354257
TraesCS5B02G064200	-0.048288822	0.983937307
TraesCS2B02G172300	NA	NA
TraesCS1D02G427200	-0.13426976	0.800899095
TraesCS1D02G146900	0.374245983	0.009601792
TraesCS6D02G038400	-0.079593656	0.665438828
TraesCS2D02G157800	-0.445565031	0.038550307
TraesCS7A02G508300	-0.140349534	0.36020034
TraesCS2D02G236700	-0.011731452	0.924578909
TraesCS4A02G198000	-0.056044226	0.986128429
TraesCS6A02G013566	-0.056044313	0.98621341
TraesCS3B02G460900	0.32095399	0.055188816
TraesCS6A02G345000	NA	NA
TraesCS5D02G005500	-0.06219685	0.966939392
TraesCS7B02G238700	0.047159507	0.797352625
TraesCS6A02G239100	0.13426448	0.314146596
TraesCS2A02G025500	-0.435496689	0.496440071
TraesCS1B02G157700	0.057170906	0.85298695
TraesCS1A02G441500	0.030478106	0.797010833
TraesCS2B02G433400	0.280024903	0.120350495
TraesCS4B02G327800	0.377703843	6.29E-05
TraesCS2B02G508300	-0.032242855	0.940273276
TraesCS5A02G451400	0.614388338	0.067241722
TraesCS4B02G342000	-0.085357377	0.662141091
TraesCS5B02G541000	0.21421607	0.875465874
TraesCS6B02G315900	0.90572423	0.824340734
TraesCS2D02G266200	-1.948309327	0.353372977
TraesCS5A02G223600	-0.039364837	0.983622135
TraesCS5B02G534400	-0.124610928	0.089282643
TraesCS4D02G359600	0.046083433	0.944031702
TraesCS5D02G059700	-0.160359151	0.177922286
TraesCS2D02G504000	-0.022928453	0.872139771
TraesCS2B02G325200	0.008119975	0.946174792
TraesCS6B02G302100	-0.047955168	0.660353398
TraesCS7B02G124400	0.099053423	0.93774832
TraesCS6B02G472000	2.805708748	0.29538441
TraesCS1A02G098900	1.267825258	0.122998447
TraesCS2B02G108300	2.427724825	0.201615137
TraesCS5A02G333900	-1.524880013	0.52115712
TraesCS3A02G344600	-0.459953517	0.057949291
TraesCS5A02G346600	-0.338154166	0.620356036
TraesCS2B02G322200	-0.47641363	0.640294673
TraesCS5A02G187500	0.07546404	0.940979769
TraesCS7B02G378900	-0.212149137	0.165190998
TraesCS2A02G162100	-0.011801217	0.960295253
TraesCS6D02G298200	-1.017829122	0.803021211
TraesCS5A02G130300	0.90572423	0.824340734
TraesCS7B02G296000	0.518594587	0.002508252
TraesCS6D02G040500	NA	NA
TraesCS2D02G455000	-0.082997515	0.351113194
TraesCS5B02G062600	NA	NA
TraesCS7D02G469100	0.042948329	0.603982527
TraesCS2D02G299100	0.080597813	0.748426713
TraesCS4D02G275800	-0.018667225	0.942754055
TraesCS3A02G395000	0.194785818	0.086458959
TraesCS6A02G338200	0.214978447	0.774582189
TraesCS6B02G243000	0.279094753	0.44637342
TraesCS7A02G126300	NA	NA
TraesCS1B02G351500	0.032697365	0.955616049
TraesCS6A02G271800	0.318926219	0.19599774
TraesCS5B02G536100	-2.911063852	0.206094212
TraesCS2D02G212500	-0.62208866	0.778059161
TraesCS4D02G308500	0.054757711	0.719710057
TraesCS5A02G345600	0.90572423	0.824340734
TraesCS1D02G083300	-0.056044264	0.986166077
TraesCS2B02G017600	-1.91333348	0.003226323
TraesCS1B02G037400	-1.017829122	0.803021211
TraesCS6B02G442200	-0.253570496	0.560080283
TraesCS6A02G122100	0.013244824	0.968217518
TraesCS1B02G443800	NA	NA
TraesCS3D02G146400	0.97933117	0.000146075
TraesCS5A02G160500	-0.049768558	0.967158869
TraesCS7D02G547700	NA	NA
TraesCS6B02G322700	-0.642702792	0.664373623
TraesCS6B02G383900	-0.471325789	0.791906209
TraesCS4B02G119200	0.059118952	0.833306794
TraesCS6D02G275600	0.90572423	0.824340734
TraesCS5A02G141400	0.012058495	0.940330366
TraesCS2D02G274100	-0.159504551	0.392459745
TraesCS6B02G376800	-0.008066642	0.946373259
TraesCS2D02G417300	-0.300845783	0.003559938
TraesCS6D02G271100	-0.78238361	0.639836706
TraesCS6A02G151100	-0.203440423	0.235540443
TraesCS7D02G277000	-0.297984231	0.017364064
TraesCS2B02G323700	0.110489321	0.217087332
TraesCS1A02G358500	1.425952188	0.550314813
TraesCS5D02G065100	-0.273385316	0.015102312
TraesCS6A02G148600	0.407092202	0.204393392
TraesCS4A02G102700	0.00270551	0.971763898
TraesCS5D02G032900	0.317473851	0.371431908
TraesCS1A02G074100	-0.083888667	0.96685294
TraesCS2B02G402100	1.218327463	0.169371452
TraesCS3D02G252500	-0.236469266	0.61324375
TraesCS1A02G035600	0.32485705	0.002337302
TraesCS7B02G322100	-0.056893186	0.980997157
TraesCS7A02G108400	-0.018963633	0.828612461
TraesCS5D02G504900	-0.479066561	0.695071958
TraesCS6B02G353300	0.760476441	0.000240722
TraesCS5B02G136600	-0.020626953	0.914290283
TraesCS7B02G007100	0.843387266	0.763609369
TraesCS3B02G179200	0.116733713	0.510469051
TraesCS3A02G086400	-0.073386749	0.692537627
TraesCS4D02G333900	-1.2818423	0.37759713
TraesCS7B02G055100	-0.015665221	0.934089277
TraesCS7B02G248500	-0.353392759	0.000270194
TraesCS6A02G210000	0.345798762	0.360968383
TraesCS2A02G435500	1.174309781	0.452592541
TraesCS3B02G124400	-0.191205664	0.282765329
TraesCS2B02G091300	-0.126015403	0.108005901
TraesCS2D02G554500	-0.469184138	0.025236491
TraesCS4B02G080400	0.003508355	0.992933504
TraesCS4A02G023000	-0.195568976	0.615785463
TraesCS6B02G366300	-1.919632497	0.543902086
TraesCS5B02G388800	-1.826836169	0.090207062
TraesCS6B02G128300	-0.024843196	0.743925375
TraesCS1A02G338100	0.725854101	0.491616319
TraesCS2D02G167900	-0.050938624	0.681772479
TraesCS4A02G274300	-0.097409728	0.398133298
TraesCS5D02G170500	-0.042119646	0.692608192
TraesCS4A02G182600	NA	NA
TraesCS5D02G197300	-1.901832202	0.580698398
TraesCS1A02G204900	1.7997771	0.57561517
TraesCS1A02G348600	-1.017829122	0.803021211
TraesCS1B02G004900	1.4480167	0.146264969
TraesCS4B02G170100	1.261312859	2.86E-09
TraesCS2A02G215600	-0.001103424	0.989401612
TraesCS6B02G432000	0.019834518	0.953761687
TraesCS4D02G249800	-0.209915898	0.269472159
TraesCS1D02G422000	0.713794578	0.003607216
TraesCS5A02G191700	-0.296302021	0.652589362
TraesCS3D02G453500	-1.056546971	0.317835657
TraesCS2A02G451900	-1.858632468	0.254346154
TraesCS6B02G445900	1.809345921	0.602321014
TraesCS3B02G365800	-0.189657879	0.644562116
TraesCSU02G191000	0.264721537	0.493584163
TraesCS3D02G009400	-0.502662288	0.532380016
TraesCS6D02G036000	-0.409184018	0.302876014
TraesCS2D02G118500	-0.135546277	0.077070288
TraesCS5B02G379000	-0.797755176	0.639917828
TraesCS3A02G446100	NA	NA
TraesCS5A02G354600	-0.466844466	0.407008601
TraesCS1D02G209600	0.280824661	0.475299629
TraesCS3D02G230300	-0.020614054	0.866556811
TraesCS7A02G093100	-0.056044264	0.986166077
TraesCS2D02G421100	0.00491115	0.973671366
TraesCS6B02G045200	-0.651967067	0.660184271
TraesCS6B02G125600	-0.076594273	0.331175198
TraesCS1D02G096900	-0.025212319	0.925615614
TraesCS6D02G350300	-0.502824325	0.066109178
TraesCS5D02G521700	NA	NA
TraesCS3D02G440600	-0.22832445	0.0011288
TraesCS1D02G154300	1.429441461	0.213392706
TraesCS6A02G128900	-1.017829122	0.803021211
TraesCS7D02G365500	-0.595739192	0.371747431
TraesCS2A02G302900	0.502373145	0.00100129
TraesCSU02G024500	NA	NA
TraesCS6A02G363600	0.308820144	0.763375355
TraesCS2A02G581000	-0.237119144	0.005237626
TraesCS5A02G030200	0.326751904	0.424348219
TraesCSU02G056900	-0.526908234	0.03429992
TraesCS1D02G301400	0.041302607	0.904444703
TraesCS6D02G079800	NA	NA
TraesCS1B02G290700	-0.122265493	0.315472977
TraesCS5A02G119400	-0.073649597	0.771501006
TraesCS5A02G009800	0.336240648	0.859979761
TraesCS6A02G400600	-0.271436197	0.644090631
TraesCS7B02G256000	0.836531975	0.00731221
TraesCS4A02G139500	-0.161815303	0.85130137
TraesCS4B02G392700	-0.280073308	0.204455287
TraesCS3B02G362900	0.133757131	0.321439792
TraesCS5B02G082000	-0.087190783	0.367621216
TraesCS3D02G157400	0.463476906	0.385979109
TraesCS5D02G347400	-0.116341852	0.403693851
TraesCS6B02G104900	-1.899712136	0.55062203
TraesCS3B02G231200	2.335757961	0.237008762
